游戏名称,上架平台,游戏类型,上架时间,开发者,备注,访问链接
龙之谷世界,手机、平板和电脑,角色扮演,2025/09/26,数龙信息技术（浙江）有限公司,群友 Aprilγ 提供,https://appgallery.huawei.com/app/detail?id=com.shengqugames.wod.os.huawei&channelId=SHARE&source=appshare
貓咪的人生,手机(平板可下载),休闲益智,2025/09/25,北京三指科技有限责任公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.sanzhi.mmdrs.huawei&channelId=SHARE&source=appshare
云上城之歌,手机和平板,角色扮演,2025/09/25,广州趣虎网络科技有限公司,09/26新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.gzqh.ysczg.syqhharmony&channelId=SHARE&source=appshare
金铲铲之战,手机和平板,休闲益智,2025/09/25,深圳市腾讯计算机系统有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.tencent.jkchess.huawei&channelId=SHARE&source=appshare
合金弹头：觉醒,手机和平板,动作射击,2025/09/25,深圳市腾讯计算机系统有限公司,MeoW友 f09c50** 提供,https://appgallery.huawei.com/app/detail?id=com.tencent.msgame.huawei&channelId=SHARE&source=appshare
腾讯桌球,手机和平板,休闲益智,2025/09/25,深圳市腾讯计算机系统有限公司,,https://appgallery.huawei.com/app/detail?id=com.pocket.huawei&channelId=SHARE&source=appshare
发条总动员,手机和平板,动作射击,2025/09/25,上海沐漪网络科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.weflycn.hm&channelId=SHARE&source=appshare
植物大战僵尸3,手机和平板,经营策略,2025/09/25,海南萌星科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.plantsvszombies3.mengxinghm.huawei&channelId=SHARE&source=appshare
烈焰觉醒,手机(平板可下载),角色扮演,2025/09/25,杭州玩心不止网络科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.wxbz.lyjxhm.huawei&channelId=SHARE&source=appshare
黑龙与天使,手机(平板可下载),角色扮演,2025/09/24,上海悦腾网络科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.xy.hlytshm.huawei&channelId=SHARE&source=appshare
魂斗罗：归来,手机和平板,动作射击,2025/09/24,深圳市腾讯计算机系统有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.tencent.shootgame.hm&channelId=SHARE&source=appshare
虎卫战神,手机和平板,角色扮演,2025/09/23,江西贪玩信息技术有限公司,群友 柚子games 提供，游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.tanwan.hwzsly.hos.huawei&channelId=SHARE&source=appshare
三角洲行动,手机(平板可下载),动作射击,2025/09/23,深圳市腾讯计算机系统有限公司,群友 羊绒Cashmere 提供，游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.tencent.tmgp.dfm.hw&channelId=SHARE&source=appshare
一念逍遥,手机和平板,角色扮演,2025/09/23,深圳雷霆信息技术有限公司,群友 Aprilγ 提供，游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.leiting.xian.hm.huawei&channelId=SHARE&source=appshare
魂之眼,手机和平板,角色扮演,2025/09/22,帆尘网络科技（广州）有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.hy.hzyoh.huawei&channelId=SHARE&source=appshare
现代战舰,手机和平板,动作射击,2025/09/20,海南战火互娱信息技术有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.zhanhuo.mw.hm.huawei&channelId=SHARE&source=appshare
英雄联盟手游,手机和平板,动作射击,2025/09/19,深圳市腾讯计算机系统有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.tencent.lolm.hw&channelId=SHARE&source=appshare
QQ炫舞体验服,手机(平板可下载),休闲益智,2025/09/19,深圳市腾讯计算机系统有限公司,群友 Daphne 提供,https://appgallery.huawei.com/app/detail?id=com.tencent.tmgp.qqx5tyf.hw&channelId=SHARE&source=appshare
怪物之家2:勋章,手机、平板和电脑,休闲益智,2025/09/19,上海胖布丁网络科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.CottonGame.MonsterFamily2hm.huawei&channelId=SHARE&source=appshare
钢铁力量,手机和平板,动作射击,2025/09/18,北京酷鱼畅享科技有限公司,09/19新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.coolfishgames.ironforce.hm&channelId=SHARE&source=appshare
连连看达人全民消一消,手机和平板,休闲益智,2025/09/17,沈阳纵艺科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.zqyx.llkdrqmxyx.huawei&channelId=SHARE&source=appshare
暗区突围,手机和平板,动作射击,2025/09/16,深圳市腾讯计算机系统有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.tencent.mf.uam.huawei&channelId=SHARE&source=appshare
守愿者,手机(平板可下载),角色扮演,2025/09/16,广州星河月科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.shouyuanzhe.HM.huawei&channelId=SHARE&source=appshare
地下城堡4：骑士与破碎编年史,手机和平板,角色扮演,2025/09/15,厦门烛月网络科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.zygames.dungeon4.hm.huawei&channelId=SHARE&source=appshare
打螺丝拧不住拔钉子,手机和平板,休闲益智,2025/09/15,沈阳纵艺科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.zqkeji.dls.huawei&channelId=SHARE&source=appshare
极无双2,手机和平板,角色扮演,2025/09/12,天津英雄互娱科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.yingxiong.tk2harmoney.huawei&channelId=SHARE&source=appshare
深空之眼,手机和平板,角色扮演,2025/09/12,厦门勇仕网络技术股份有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.yongshi.tenojo.hos&channelId=SHARE&source=appshare
不朽箴言,手机和平板,角色扮演,2025/09/11,成都金山世游卓立科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.seayoo.zero.hmos.huawei&channelId=SHARE&source=appshare
斗游象棋,手机和平板,棋牌桌游,2025/09/11,沈阳纵艺科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.zykeji.dyxq.huawei&channelId=SHARE&source=appshare
糖果拼乐拼,手机和平板,休闲益智,2025/09/11,沈阳纵艺科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.zy.hmtgplp.huawei&channelId=SHARE&source=appshare
原神,手机和平板,角色扮演,2025/09/10,上海米哈游影铁科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.miHoYo.Yuanshen&channelId=SHARE&source=appshare
上行勇者,手机和平板,角色扮演,2025/09/09,广州青笋网络科技有限责任公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.sxyz.OS.huawei&channelId=SHARE&source=appshare
西游：笔绘西行,手机和平板,角色扮演,2025/09/08,北京畅游时代数码技术有限公司,09/15新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.cyou.xxyhm.huawei&channelId=SHARE&source=appshare
仙魔神迹,手机和平板,角色扮演,2025/09/08,上海炫闪网络科技有限公司,09/15新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sswl.shjcqxyx.xmsj.huawei&channelId=SHARE&source=appshare
同城游105,手机和平板,棋牌桌游,2025/09/08,浙江畅唐网络股份有限公司,09/15新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.uc108.mobile.szsm.hm&channelId=SHARE&source=appshare
狙击我贼准,手机和平板,动作射击,2025/09/06,北京三指科技有限责任公司,群友 小明 ?? 提供，游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.sanzhi.jjwzz.huawei&channelId=SHARE&source=appshare
碳碳岛,手机(平板可下载),休闲益智,2025/09/05,深圳市腾讯计算机系统有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.tencent.gnyx.ttd.huawei&channelId=SHARE&source=appshare
辰东群侠传,手机和平板,角色扮演,2025/09/04,湛江市杰游网络科技有限公司,群友 小明 ?? 提供,https://appgallery.huawei.com/app/detail?id=com.zjjy.cdqxz.cdqx.game.huawei&channelId=SHARE&source=appshare
QQ飞车,手机和平板,体育竞速,2025/09/03,深圳市腾讯计算机系统有限公司,,https://appgallery.huawei.com/app/detail?id=com.tencent.tmgp.speedmobile.hw&channelId=SHARE
梦幻模拟战,手机和平板,经营策略,2025/09/01,上海紫舜信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.zlongame.mhmnz.hm&channelId=SHARE
女神的逃脱,手机(平板可下载),休闲益智,2025/09/01,深圳峻冉信息技术有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.nsdtthm.huawei&channelId=SHARE
生化末日火线枪神,手机(平板可下载),休闲益智,2025/09/01,深圳峻冉信息技术有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jr.shmrhxqshm.huawei&channelId=SHARE
迷你动漫大作战,手机(平板可下载),休闲益智,2025/09/01,深圳峻冉信息技术有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jr.mndmdzzhm.huawei&channelId=SHARE
动物逃生模拟,手机和平板,休闲益智,2025/09/01,厦门市冰天信息科技有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.dwtsmn.huawei&channelId=SHARE
乐云中国象棋,手机(平板可下载),棋牌桌游,2025/09/01,深圳市聚玩乐网络科技有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jwl.lyzgxq.huawei&channelId=SHARE
白块清除计划,手机(平板可下载),休闲益智,2025/08/30,深圳鸿兴数字网络科技有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hmhxshuz12.huawei&channelId=SHARE
修仙大冒险,手机(平板可下载),角色扮演,2025/08/30,深圳市聚玩乐网络科技有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lywx.xxdmx.hm.huawei&channelId=SHARE
车车哇呼呼呼,手机和平板,休闲益智,2025/08/30,广州悦道信息科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hm.ccwhhh.huawei&channelId=SHARE
火柴人大战僵尸,手机(平板可下载),休闲益智,2025/08/30,北京云端启迪科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.huochairdzjs.hm.huawei&channelId=SHARE
恐龙进化重制版,手机(平板可下载),角色扮演,2025/08/30,深圳市鸿鑫网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hxwl.kljhczbhap.huawei&channelId=SHARE
王牌打工人,手机(平板可下载),休闲益智,2025/08/30,杭州游弋思网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.fca.wpdgrhm.huawei&channelId=SHARE
集合跟我上,手机(平板可下载),休闲益智,2025/08/30,杭州游弋思网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.fca.jhgwshm.huawei&channelId=SHARE
伐木逃生,手机(平板可下载),休闲益智,2025/08/30,杭州游弋思网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wshr.fmtshm.huawei&channelId=SHARE
暴走女王,手机(平板可下载),休闲益智,2025/08/30,杭州游弋思网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wshr.bznwhm.huawei&channelId=SHARE
绝密大逃亡,手机(平板可下载),休闲益智,2025/08/30,杭州游弋思网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.fca.jmdtwhm.huawei&channelId=SHARE
运动小达人,手机(平板可下载),休闲益智,2025/08/30,杭州游弋思网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.fca.ydxdrhm.huawei&channelId=SHARE
跑酷小能手,手机(平板可下载),休闲益智,2025/08/30,杭州游弋思网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.fca.pkxnshm.huawei&channelId=SHARE
王牌特工队,手机(平板可下载),休闲益智,2025/08/30,杭州游弋思网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.fca.wptgdhm.huawei&channelId=SHARE
我不是菜鸟,手机(平板可下载),休闲益智,2025/08/29,深圳月升沧海信息技术有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hs.wbscnhm.huawei&channelId=SHARE
解压神器模拟器,手机(平板可下载),休闲益智,2025/08/29,深圳月升沧海信息技术有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hs.jysqhm.huawei&channelId=SHARE
汽车拥堵突围赛,手机(平板可下载),休闲益智,2025/08/29,深圳鸿兴数字网络科技有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hmhxshuz3.huawei&channelId=SHARE
美食店经营模拟,手机和平板,休闲益智,2025/08/29,厦门市冰天信息科技有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.msdjymn.huawei&channelId=SHARE
僵尸城市生存,手机(平板可下载),动作射击,2025/08/29,北京云端启迪科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jiangshicssc.hm.huawei&channelId=SHARE
刺激战场行动,手机(平板可下载),动作射击,2025/08/29,北京云端启迪科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.cijizcxd.hm.huawei&channelId=SHARE
急速过山车,手机(平板可下载),经营策略,2025/08/29,北京云端启迪科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jisugsc.hm.huawei&channelId=SHARE
像素建造者,手机(平板可下载),休闲益智,2025/08/29,北京云端启迪科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xiangsuczz.hm.huawei&channelId=SHARE
火柴人神射手,手机(平板可下载),动作射击,2025/08/29,北京云端启迪科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.huochairsss.hm.huawei&channelId=SHARE
米加梦家园幻,手机(平板可下载),休闲益智,2025/08/29,厦门叶秋原网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.mjmhjy.huawei&channelId=SHARE
露露甜品屋,手机(平板可下载),休闲益智,2025/08/29,厦门叶秋原网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.lulutp.huawei&channelId=SHARE
樱花搞笑躲猫猫,手机和平板,休闲益智,2025/08/29,深圳市鸿鑫网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hxwl.yhgxdmmhap.huawei&channelId=SHARE
宝宝贴纸书,手机(平板可下载),休闲益智,2025/08/29,深圳市鸿鑫网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hxwl.bbtzshap.huawei&channelId=SHARE
拯救咖啡小姐,手机(平板可下载),休闲益智,2025/08/29,深圳市鸿鑫网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hxwl.zjkfxjhap.huawei&channelId=SHARE
收纳整理我最牛,手机(平板可下载),休闲益智,2025/08/29,深圳市鸿鑫网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hxwl.snzlwznhap.huawei&channelId=SHARE
3d开车模拟器,手机和平板,体育竞速,2025/08/29,徐州科郎信息技术有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.kl.hm.kcmnq.huawei&channelId=SHARE
自行车竞速达人,手机和平板,休闲益智,2025/08/29,徐州科郎信息技术有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.kl.hm.zxcjsdr.huawei&channelId=SHARE
公交客车模拟,手机和平板,体育竞速,2025/08/29,徐州科郎信息技术有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.kl.hm.gjkcmn.huawei&channelId=SHARE
滚滚往前冲,手机(平板可下载),休闲益智,2025/08/29,杭州游弋思网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wshr.ggxqchm.huawei&channelId=SHARE
我耍刀贼溜,手机(平板可下载),休闲益智,2025/08/29,杭州游弋思网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.fca.wsdzlhm.huawei&channelId=SHARE
动物餐厅,手机(平板可下载),经营策略,2025/08/29,两英里科技成都有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=inland.twgame.restaurant.hm&channelId=SHARE
小猫爱冒险,手机和平板,角色扮演,2025/08/29,徐州多乐网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.dl.hm.xmamx.huawei&channelId=SHARE
爱冒险的脑洞人,手机(平板可下载),休闲益智,2025/08/29,深圳任何网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.rh.amxdndrhm.huawei&channelId=SHARE
鉴宝达人,手机(平板可下载),休闲益智,2025/08/29,深圳任何网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sga.jbdrhm.huawei&channelId=SHARE
看我的神操作,手机(平板可下载),休闲益智,2025/08/29,深圳任何网络科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xtm.kwdsczhm.huawei&channelId=SHARE
企鹅团过杠,手机(平板可下载),休闲益智,2025/08/29,北京陌缘网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hmmoyuan3.huawei&channelId=SHARE
加油站大亨,手机和平板,休闲益智,2025/08/29,深圳沄晗网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.yh.jyzdh.hmservice&channelId=SHARE
别抢我地盘,手机和平板,休闲益智,2025/08/29,深圳沄晗网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.yh.bqwdp.hmservice&channelId=SHARE
是或否挑战,手机(平板可下载),休闲益智,2025/08/29,深圳市智腾丰耀科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ztfy.shftz.hm.huawei&channelId=SHARE
儿童游乐园模拟器,手机和平板,休闲益智,2025/08/29,厦门很稳网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwwl.etylymnq.hm.huawei&channelId=SHARE
卡车物流模拟器,手机和平板,休闲益智,2025/08/29,厦门很稳网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hw.kcwlmnq.hm.huawei&channelId=SHARE
石器村子,手机和平板,休闲益智,2025/08/29,厦门很稳网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwwl.sqcz.hm.huawei&channelId=SHARE
我的渔场(环形),手机和平板,休闲益智,2025/08/29,厦门很稳网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwwl.wdychx.hm.huawei&channelId=SHARE
快递公司模拟器,手机和平板,休闲益智,2025/08/29,厦门很稳网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwwl.kdgsmnq.hm.huawei&channelId=SHARE
推拿馆,手机和平板,休闲益智,2025/08/29,厦门很稳网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwwl.tng.hm.huawei&channelId=SHARE
修复山海经模组,手机(平板可下载),休闲益智,2025/08/29,深圳阳阳无限科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.yywx.xfshjmzhap.huawei&channelId=SHARE
节奏感超强,手机(平板可下载),休闲益智,2025/08/29,深圳阳阳无限科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.yywx.jzgcqhap.huawei&channelId=SHARE
盲盒贴纸书,手机(平板可下载),休闲益智,2025/08/29,深圳市森灵游科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sly.mhtzshap.huawei&channelId=SHARE
经典合成翡翠,手机(平板可下载),休闲益智,2025/08/29,长沙梦元素科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.mys.jdhcfc.hap.huawei&channelId=SHARE
机甲狂战格斗之王,手机(平板可下载),休闲益智,2025/08/29,深圳无界互娱网络有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hwa.jjkzgdzwhm.huawei&channelId=SHARE
秘境逃脱,手机(平板可下载),休闲益智,2025/08/29,深圳无界互娱网络有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wj.mjtthm.huawei&channelId=SHARE
辣酷小甜心,手机(平板可下载),休闲益智,2025/08/29,深圳无界互娱网络有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xtm.lkxtxhm.huawei&channelId=SHARE
消消咩大挑战,手机(平板可下载),休闲益智,2025/08/29,深圳鸿兴元动网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hmhxyuand5.huawei&channelId=SHARE
飞刀破坏王,手机(平板可下载),休闲益智,2025/08/29,深圳峻冉信息技术有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jr.fdphwhm.huawei&channelId=SHARE
别让僵尸聚集,手机(平板可下载),休闲益智,2025/08/29,深圳鸿兴蒙动网络科技有限公司,08/29新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hmhxmengd5.huawei&channelId=SHARE
突围大挑战,手机(平板可下载),休闲益智,2025/08/28,深圳鸿兴数字网络科技有限公司,09/01新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hmhxshuz10.huawei&channelId=SHARE
神力超跑,手机和平板,体育竞速,2025/08/28,广州悦道信息科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hm.slcp.huawei&channelId=SHARE
家园防御,手机和平板,角色扮演,2025/08/28,广州悦道信息科技有限公司,08/30新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hm.jyfy.huawei&channelId=SHARE
