应用名称,上架平台,应用类型,上架时间,开发者,备注,访问链接
维修店铺,手机(平板可下载),工具,2025/09/26,王洪雨,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.weixiu&channelId=SHARE&source=appshare
AtvRemote 遥控器,手机(平板可下载),工具,2025/09/26,陈龙,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.brkchen.atvremote&channelId=SHARE&source=appshare
LightWAN,手机、平板和电脑,工具,2025/09/26,北京轻网科技股份有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lightwan.app&channelId=SHARE&source=appshare
具身智能指南,手机和平板,工具,2025/09/26,南京鸢尾蓝网络科技有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iris.embodied&channelId=SHARE&source=appshare
快鸭驾考,手机(平板可下载),汽车,2025/09/26,山东快鸭信息科技有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kuaiyaxueche.app&channelId=SHARE&source=appshare
电投壹,手机和平板,商务,2025/09/26,国家电投集团数字科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.spicdt.elink.hmos&channelId=SHARE&source=appshare
湘大校园,手机(平板可下载),教育,2025/09/26,湘潭大学,,https://appgallery.huawei.com/app/detail?id=com.ccb.xiangdaxiaoyuan.har&channelId=SHARE&source=appshare
雨课堂,手机(平板可下载),教育,2025/09/26,北京慕华信息科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.xuetangx.ykt.hos&channelId=SHARE&source=appshare
政务通,手机和平板,工具,2025/09/26,河南软赛富软件科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.rsaif.zwtcontacts.hmos&channelId=SHARE&source=appshare
医考帮,手机和平板,教育,2025/09/26,北京医考帮科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.ykb.hm&channelId=SHARE&source=appshare
胎动助手,手机(平板可下载),工具,2025/09/26,厦门美柿科技有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.msnothing.taidong&channelId=SHARE&source=appshare
git手册,手机和平板,工具,2025/09/26,厦门市凡游网络科技有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xmfanyou.app12&channelId=SHARE&source=appshare
睡觉助手,手机和平板,工具,2025/09/26,厦门市凡游网络科技有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xmfanyou.app14&channelId=SHARE&source=appshare
数独解题专家,手机(平板可下载),休闲娱乐,2025/09/26,中软国际科技服务有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.shudujietizhuanjia&channelId=SHARE&source=appshare
宝宝记日常,手机(平板可下载),运动健康,2025/09/25,滨州幻境网络科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huanjing.baobao&channelId=SHARE&source=appshare
视频压缩大师,手机(平板可下载),工具,2025/09/25,上海原来信息科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mike.videocompress2&channelId=SHARE&source=appshare
恋爱情话库,手机(平板可下载),社交,2025/09/25,成都森淼湖科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.smlake.loveqhk.hos&channelId=SHARE&source=appshare
作文说,手机(平板可下载),教育,2025/09/25,哉亚（深圳）科技有限责任公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zuo.wen.shuo&channelId=SHARE&source=appshare
望远镜远望器,手机和平板,工具,2025/09/25,西安班里个班软件有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.banbanhong.telescope&channelId=SHARE&source=appshare
泰语发音点读,手机(平板可下载),教育,2025/09/25,胡梦萦,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.miya.taiyufayin&channelId=SHARE&source=appshare
色卡颜色助手,手机(平板可下载),艺术与设计,2025/09/25,胡梦萦,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.miya.sekayanse&channelId=SHARE&source=appshare
开心学物理,手机和平板,教育,2025/09/25,李锦成,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ljcljc.physics&channelId=SHARE&source=appshare
时代新材,手机和平板,商务,2025/09/25,株洲时代新材料科技股份有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sdxc.hm&channelId=SHARE&source=appshare
新材合作伙伴,手机和平板,商务,2025/09/25,株洲时代新材料科技股份有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sdxcbp.hm&channelId=SHARE&source=appshare
法考帮,手机、平板和电脑,教育,2025/09/25,广州云钛科技有限责任公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xkboh.fkb&channelId=SHARE&source=appshare
商务数据分析师题库速学,手机(平板可下载),教育,2025/09/25,湖南聚优选电子科技有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qxhms.busdatajyx&channelId=SHARE&source=appshare
即甜漂流瓶,手机(平板可下载),社交,2025/09/25,牧风文化发展（连云港）有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=sweet.enough.mexbd&channelId=SHARE&source=appshare
健康迹,手机(平板可下载),工具,2025/09/25,上海浩烨互联网络科技有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=site.tootop.heart_monitor_ohos&channelId=SHARE&source=appshare
新东方学堂,手机(平板可下载),教育,2025/09/25,北京青葵东方教育科技有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.xdf.home.home_edu_flutter&channelId=SHARE&source=appshare
轻美修图,手机(平板可下载),拍摄美化,2025/09/25,北京才牛图科技有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=net.beido.hm.retouch&channelId=SHARE&source=appshare
乒乓球随身助手,手机(平板可下载),工具,2025/09/25,王洪雨,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.pingpang&channelId=SHARE&source=appshare
美发小管,手机(平板可下载),工具,2025/09/25,王洪雨,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.meifa&channelId=SHARE&source=appshare
爱宠健康成长,手机(平板可下载),工具,2025/09/25,王洪雨,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.aichong&channelId=SHARE&source=appshare
手机尺子AR测距仪,手机(平板可下载),工具,2025/09/25,南京梵初科技有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fanchu.rulerhm&channelId=SHARE&source=appshare
下一步助手,手机、平板和电脑,教育,2025/09/25,丁姜齐,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.nextstep&channelId=SHARE&source=appshare
元器件DFM,手机(平板可下载),工具,2025/09/25,长沙芒果创客工业设计有限责任公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.MG.yuanqjDFM&channelId=SHARE&source=appshare
追更伴侣,手机(平板可下载),工具,2025/09/25,游汪波,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=uni.app.UNIB308AC0&channelId=SHARE&source=appshare
物品管家,手机(平板可下载),工具,2025/09/25,周志杰,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zj.items&channelId=SHARE&source=appshare
有享云商,手机(平板可下载),购物,2025/09/25,宁波三生电子商务有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yofoto.yofoys.h&channelId=SHARE&source=appshare
京东快递服务站,手机(平板可下载),工具,2025/09/25,北京京邦达贸易有限公司,群友 让一切随风 提供,https://appgallery.huawei.com/app/detail?id=com.jd.mrd.convenience&channelId=SHARE&source=appshare
MY JAC,手机(平板可下载),汽车,2025/09/25,安徽江淮汽车集团股份有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jac.hm.myjac.cyc&channelId=SHARE&source=appshare
AI魔幻头像,手机(平板可下载),工具,2025/09/25,天津智汇云科信息技术有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zhyunke.portrait&channelId=SHARE&source=appshare
薪动力,手机和平板,工具,2025/09/25,王陈梓杭,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=salary.power.huawei&channelId=SHARE&source=appshare
实时高度表 Pro,手机(平板可下载),工具,2025/09/25,深圳市谦飞科技有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.bleaqc.hjqwwyx&channelId=SHARE&source=appshare
AR测距,手机(平板可下载),工具,2025/09/25,南京曌鑫科技有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.teredy.measurehm&channelId=SHARE&source=appshare
倒班日历,手机(平板可下载),效率,2025/09/25,陈创宏,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenfei.daoban&channelId=SHARE&source=appshare
舒尔特方格练习,手机(平板可下载),工具,2025/09/25,陈创宏,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenfei.shuertefangge&channelId=SHARE&source=appshare
房东助手,手机(平板可下载),房产与装修,2025/09/25,陈创宏,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenfei.fangdongzhushou&channelId=SHARE&source=appshare
颜色搭配,手机(平板可下载),艺术与设计,2025/09/25,陈创宏,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenfei.yansedapei&channelId=SHARE&source=appshare
元素周期表大全,手机(平板可下载),教育,2025/09/25,陈创宏,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenfei.yuansubiao&channelId=SHARE&source=appshare
MBTI人格免费测试,手机(平板可下载),工具,2025/09/25,陈创宏,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenfei.mbti&channelId=SHARE&source=appshare
急救手册,手机(平板可下载),运动健康,2025/09/25,陈创宏,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chen.jijiushouce&channelId=SHARE&source=appshare
成长奖励,手机(平板可下载),效率,2025/09/25,陈创宏,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenfei.chengzhangjiangli&channelId=SHARE&source=appshare
五笔打字天天练,手机(平板可下载),教育,2025/09/25,陈创宏,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenfei.wubidazi&channelId=SHARE&source=appshare
跑步节拍器助手,手机(平板可下载),运动健康,2025/09/25,陈创宏,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chenfei.malasong&channelId=SHARE&source=appshare
用药助手,手机和平板,医疗,2025/09/25,杭州联科美讯生物医药技术有限公司,,https://appgallery.huawei.com/app/detail?id=cn.dxy.hm.medicinehelper&channelId=SHARE&source=appshare
哈尔滨银行,手机(平板可下载),金融理财,2025/09/25,哈尔滨银行股份有限公司,,https://appgallery.huawei.com/app/detail?id=com.hrb.people.hmos&channelId=SHARE&source=appshare
众智途,手机(平板可下载),工具,2025/09/25,广州勘帝德电子科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.candidtech.fawdemo&channelId=SHARE&source=appshare
弹幕显示屏,手机(平板可下载),工具,2025/09/24,长沙巧希网络技术有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qiaoxi18.harmonydmxsq&channelId=SHARE&source=appshare
高中帮,手机和平板,教育,2025/09/24,赣州云享集科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.educenth.gaozhong&channelId=SHARE&source=appshare
初级会计学考帮,手机、平板和电脑,教育,2025/09/24,广州云钛科技有限责任公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kuaijioh.cj&channelId=SHARE&source=appshare
摩托车考试题库大全,手机(平板可下载),教育,2025/09/24,长沙智慧小辰文化传播有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qxhms.bikeexamzhx&channelId=SHARE&source=appshare
Conut,手机(平板可下载),教育,2025/09/24,陈晓明,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cxm.conutapp&channelId=SHARE&source=appshare
疫苗接种助手,手机(平板可下载),工具,2025/09/24,厦门美柿科技有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.msnothing.yimiao&channelId=SHARE&source=appshare
餐饮选址宝,手机和平板,工具,2025/09/24,郝从顺,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.biustack.restaurantlocation&channelId=SHARE&source=appshare
PDF全能阅读器,手机和平板,工具,2025/09/24,长沙飞启源网络科技有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fly.pdf.hm&channelId=SHARE&source=appshare
摄影黄金时刻规划器,手机(平板可下载),工具,2025/09/24,刘洋,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ly.goldenhourplanner&channelId=SHARE&source=appshare
跑步节拍器pro节奏训练,手机(平板可下载),运动健康,2025/09/24,南京曌鑫科技有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zx.metronomehm&channelId=SHARE&source=appshare
运动健康服务,手机和平板,运动健康,2025/09/24,华为软件技术有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.hmos.health.core&channelId=SHARE&source=appshare
赣企通,手机和平板,生活服务,2025/09/24,江西省政务信息中心,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jxdata.gqthm&channelId=SHARE&source=appshare
智行淄博,手机(平板可下载),出行导航,2025/09/24,爱易成技术（天津）有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iec.hm.lvdaocheng&channelId=SHARE&source=appshare
智汇工具箱,手机和平板,工具,2025/09/24,罗德智,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=jyjishuqi.huawei.com&channelId=SHARE&source=appshare
哆啦猫狗翻译器,手机(平板可下载),工具,2025/09/24,合肥纪念谷科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jng.translate.hm&channelId=SHARE&source=appshare
MIX私密播放器,手机(平板可下载),工具,2025/09/24,合肥纪念谷科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jng.mixbofangqi.hm&channelId=SHARE&source=appshare
学法减分考试宝,手机(平板可下载),汽车,2025/09/24,长沙尺度网络科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cschidu.harmonyxfjfksb&channelId=SHARE&source=appshare
高清美颜证件照,手机(平板可下载),拍摄美化,2025/09/24,米临科技（北京）有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.milin3.hmapp&channelId=SHARE&source=appshare
爱主题壁纸,手机(平板可下载),主题,2025/09/24,长沙紫贻互联网科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cszy.aibz.sahdcs.hm&channelId=SHARE&source=appshare
美事,手机和平板,商务,2025/09/24,五八同城信息技术有限公司,,https://appgallery.huawei.com/app/detail?id=com.wuba.meishi&channelId=SHARE&source=appshare
韩小圈,手机和平板,影视与直播,2025/09/24,重庆宝上云科技有限公司,重新上架,https://appgallery.huawei.com/app/detail?id=com.bsy.hxqhm&channelId=SHARE&source=appshare
YAML大师,手机和平板,工具,2025/09/24,厦门市凡游网络科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xmfanyou.app16&channelId=SHARE&source=appshare
小白AI面试官,手机、平板和电脑,工具,2025/09/24,成都小白里科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xbl.mianshi&channelId=SHARE&source=appshare
企业信息一键查,手机(平板可下载),商务,2025/09/23,杭州四合创梦科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shcm.qyxxyjc.hm&channelId=SHARE&source=appshare
UDOList,手机(平板可下载),效率,2025/09/23,深圳市筑途科技有限公司,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.udo.list&channelId=SHARE&source=appshare
今日番茄钟,手机(平板可下载),效率,2025/09/23,邹如旺,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=xyz.xyzsoft.pomodoro&channelId=SHARE&source=appshare
露营仓库,手机(平板可下载),工具,2025/09/23,魏磊,09/29新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luyi.weilei&channelId=SHARE&source=appshare
轻轻计算器,手机(平板可下载),工具,2025/09/23,福州市台江区飞鹏百货店,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xpfasd.super.calc&channelId=SHARE&source=appshare
